lecture_id,course_name,credit hours
1,Calculus,3
2,Pre Maths I,3
3,Pre Maths II,3
4,Applied Physics,3
5,Programming Fundamentals,3
6,English,3
7,ICT,2
8,Multivariable Calculus,2
9,Computer Animation,3
10,Pakistan Studies,2
11,Pakistan Studies,2
12,Islamic Studies,2
13,Islamic Studies,2
14,Communcation and Presentation skills,3
15,Communcation and Presentation skills,3
16,Programming Techniques,2
17,Programming Techniques,2
18,Digital Logic Design,3
19,Discrete Structures,3
20,Data Structures and Algorithms,3
21,Differential Equations,3
22,COAL,3
23,OOP,3
24,Database,3
25,Database,3
26,Operating System,3
27,Operating System,3
28,Probability and Statistics,3
29,Probability and Statistics,3
30,Theory of Automata,3
31,Linear Algebra,3
32,Software Construction,2
33,Web Engineering,3
34,Software Design and Architecture,2
35,Simulation and Modeling,3
36,Software Requirement Engineering,3
37,Numerical Computing,2
38,Technical and Business Writing,3
39,Smart App Development,3
40,Software Quality Engineering,3
41,Machine Learning,3
42,Knowledge Representation and Reasoning,3
43,Software Engineering,3
44,Software Engineering,3
45,CCNET,3
46,Formal Methods in Software Engineering,3
47,Visual Programming,3
48,DA,3
49,Software Engineering,3
50,Discrete Structures,3
51,Entrepreneurship and Technology,3
52,Entrepreneurship and Technology,3
53,Operating System Lab,1
54,Operating System Lab,1
55,Database Lab,1
56,Database Lab,1
57,Data Structures and Algorithms Lab,1
58,Machine Learning Lab,1
59,Programming Techniques Lab,1
60,Programming Techniques Lab,1
61,Programming Fundamentals Lab,1
62,CCNET Lab,1
63,Software Construction Lab,1
64,COAL Lab,1
65,ICT Lab,1
66,Visual Programming Lab,1
67,Smart App Development Lab,1
68,OOP Lab,1
